title,description,coverImage,author,isbn,publisher,year,category,location,isHighlighted,isBorrowed,createdAt,updatedAt
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Jerrome Ubanks,572878491-7,Beer-Fadel,1993,Arts,Shelf C2,true,true,"{""$date"":""2025-04-16T13:42:39.000Z""}","{""$date"":""2025-04-16T13:42:39.000Z""}"
Pellentesque at nulla.,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Putnem Egarr,763437579-9,Hoeger-Spencer,2003,Philosophy,Shelf B3,true,false,"{""$date"":""2025-07-09T07:29:38.000Z""}","{""$date"":""2025-07-09T07:29:38.000Z""}"
Aenean fermentum.,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Patton Eddisforth,373745179-6,Hauck LLC,1999,Technology,Shelf B2,true,false,"{""$date"":""2025-04-27T01:28:21.000Z""}","{""$date"":""2025-04-27T01:28:21.000Z""}"
Proin at turpis a pede posuere nonummy.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Haze Signoret,851855540-X,Olson-Jast,2007,Geography,Shelf B3,true,true,"{""$date"":""2025-02-27T06:56:17.000Z""}","{""$date"":""2025-02-27T06:56:17.000Z""}"
Nulla tellus.,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Glyn Ounsworth,171467226-3,Feeney-Wolf,1998,Politics,Shelf C3,false,true,"{""$date"":""2025-08-19T14:49:35.000Z""}","{""$date"":""2025-08-19T14:49:35.000Z""}"
Aenean lectus.,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Otes Birtwell,853988177-2,"Bogan, Kuphal and Reilly",1999,Science,Shelf C1,true,true,"{""$date"":""2025-01-28T11:38:09.000Z""}","{""$date"":""2025-01-28T11:38:09.000Z""}"
Etiam vel augue.,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Alfi Tarrant,569726644-8,Pagac and Sons,2002,Environment,Shelf A2,true,false,"{""$date"":""2025-08-12T16:22:31.000Z""}","{""$date"":""2025-08-12T16:22:31.000Z""}"
Aenean auctor gravida sem.,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Ford Schollar,239834018-X,Lesch and Sons,2002,Business,Shelf C2,false,true,"{""$date"":""2025-06-14T10:38:17.000Z""}","{""$date"":""2025-06-14T10:38:17.000Z""}"
Curabitur at ipsum ac tellus semper interdum.,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Allin Stailey,357332452-5,Leffler-Mayer,2011,Literature,Shelf B2,false,true,"{""$date"":""2024-12-14T18:00:44.000Z""}","{""$date"":""2024-12-14T18:00:44.000Z""}"
Morbi vel lectus in quam fringilla rhoncus.,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Kristofer Smitton,000199080-2,Johns Inc,2002,Law,Shelf B1,true,false,"{""$date"":""2025-04-07T14:40:15.000Z""}","{""$date"":""2025-04-07T14:40:15.000Z""}"
In congue.,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Lexis MacKim,280269043-4,Dickinson-McDermott,2008,Arts,Shelf A2,true,false,"{""$date"":""2025-09-24T15:15:17.000Z""}","{""$date"":""2025-09-24T15:15:17.000Z""}"
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Tansy Hargess,478273157-4,"Runte, Dare and Dietrich",2011,Religion,Shelf B3,false,true,"{""$date"":""2025-06-15T23:29:55.000Z""}","{""$date"":""2025-06-15T23:29:55.000Z""}"
Morbi non quam nec dui luctus rutrum.,"Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Yasmeen Shavel,135995843-6,"Von, Wuckert and Upton",2004,Religion,Shelf C3,true,true,"{""$date"":""2024-12-13T08:51:03.000Z""}","{""$date"":""2024-12-13T08:51:03.000Z""}"
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Elsbeth Maffeo,222155274-1,Schneider Group,2012,Technology,Shelf B2,false,true,"{""$date"":""2025-10-02T15:21:05.000Z""}","{""$date"":""2025-10-02T15:21:05.000Z""}"
Nam tristique tortor eu pede.,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Nisse Brooker,441402665-2,Bogan-Ritchie,1998,Engineering,Shelf B3,false,false,"{""$date"":""2025-07-10T06:31:42.000Z""}","{""$date"":""2025-07-10T06:31:42.000Z""}"
Curabitur in libero ut massa volutpat convallis.,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Lucais Grzeskowski,710554826-6,"Thiel, Morar and Stanton",1991,Science,Shelf C1,false,true,"{""$date"":""2025-08-29T16:40:21.000Z""}","{""$date"":""2025-08-29T16:40:21.000Z""}"
Etiam vel augue.,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Alley Lazarus,681001384-9,Thompson Inc,2010,Law,Shelf B3,true,true,"{""$date"":""2025-01-23T03:14:35.000Z""}","{""$date"":""2025-01-23T03:14:35.000Z""}"
Mauris ullamcorper purus sit amet nulla.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Lyell Jenson,344212255-4,"Marvin, Conn and Runolfsdottir",2005,Education,Shelf B2,true,true,"{""$date"":""2025-10-08T02:08:35.000Z""}","{""$date"":""2025-10-08T02:08:35.000Z""}"
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Barnabas Anderl,025710763-0,Schneider-Lang,2005,Mathematics,Shelf C2,false,true,"{""$date"":""2024-12-09T12:38:21.000Z""}","{""$date"":""2024-12-09T12:38:21.000Z""}"
Suspendisse potenti.,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Cirstoforo Loudwell,412496278-9,Rath-Rodriguez,2011,Politics,Shelf B1,false,true,"{""$date"":""2025-07-28T11:49:34.000Z""}","{""$date"":""2025-07-28T11:49:34.000Z""}"
Nullam sit amet turpis elementum ligula vehicula consequat.,"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Peggy Eschalette,542851358-6,Muller LLC,2003,Politics,Shelf C2,true,true,"{""$date"":""2025-06-09T10:46:12.000Z""}","{""$date"":""2025-06-09T10:46:12.000Z""}"
"In est risus, auctor sed, tristique in, tempus sit amet, sem.","Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Austin MacCardle,365345249-X,Renner and Sons,2002,Mathematics,Shelf A3,false,true,"{""$date"":""2025-04-18T08:46:09.000Z""}","{""$date"":""2025-04-18T08:46:09.000Z""}"
Nulla tempus.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Yulma Dalzell,050234655-8,Hegmann LLC,2007,Business,Shelf C3,false,true,"{""$date"":""2025-04-14T17:24:07.000Z""}","{""$date"":""2025-04-14T17:24:07.000Z""}"
"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Dorisa Beeck,712823715-1,"Bode, Mante and Macejkovic",1994,Politics,Shelf B2,true,true,"{""$date"":""2025-09-23T01:49:26.000Z""}","{""$date"":""2025-09-23T01:49:26.000Z""}"
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Melanie Winstanley,721832628-5,Schroeder and Sons,2004,Religion,Shelf C2,true,false,"{""$date"":""2025-09-27T18:14:36.000Z""}","{""$date"":""2025-09-27T18:14:36.000Z""}"
Nulla tempus.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Ginnie Ferrai,761743418-9,Koelpin Inc,2001,Engineering,Shelf A3,true,false,"{""$date"":""2025-09-10T00:04:08.000Z""}","{""$date"":""2025-09-10T00:04:08.000Z""}"
Aliquam quis turpis eget elit sodales scelerisque.,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Lloyd Sillwood,012012381-9,Kuhlman Group,2005,Literature,Shelf B2,true,true,"{""$date"":""2025-08-13T17:19:25.000Z""}","{""$date"":""2025-08-13T17:19:25.000Z""}"
Proin eu mi.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Katina Artinstall,057131285-3,Grant-Kshlerin,2010,Religion,Shelf C3,false,false,"{""$date"":""2025-02-16T09:49:16.000Z""}","{""$date"":""2025-02-16T09:49:16.000Z""}"
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Barbie Klimushev,312845873-1,Donnelly-Konopelski,2012,Environment,Shelf C2,false,true,"{""$date"":""2024-11-07T07:51:17.000Z""}","{""$date"":""2024-11-07T07:51:17.000Z""}"
Morbi non lectus.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Lynnelle Nelhams,810098575-8,"Bergstrom, Stiedemann and Grimes",2007,Health,Shelf B1,true,true,"{""$date"":""2024-11-23T04:21:47.000Z""}","{""$date"":""2024-11-23T04:21:47.000Z""}"
Vivamus in felis eu sapien cursus vestibulum.,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Mufi Callear,046177054-7,"Hauck, Prosacco and Abbott",1992,Economics,Shelf B2,true,false,"{""$date"":""2025-06-02T11:43:01.000Z""}","{""$date"":""2025-06-02T11:43:01.000Z""}"
Quisque porta volutpat erat.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Rik Redish,042590350-8,Hilll LLC,2006,Mathematics,Shelf A2,true,true,"{""$date"":""2024-12-09T03:35:35.000Z""}","{""$date"":""2024-12-09T03:35:35.000Z""}"
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Janey Shobbrook,719229026-2,Kirlin LLC,1966,Economics,Shelf B1,false,false,"{""$date"":""2025-09-21T06:10:03.000Z""}","{""$date"":""2025-09-21T06:10:03.000Z""}"
Morbi quis tortor id nulla ultrices aliquet.,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Vittoria Catteroll,943406418-X,Rath-Skiles,1992,Mathematics,Shelf B1,true,false,"{""$date"":""2025-02-14T18:06:14.000Z""}","{""$date"":""2025-02-14T18:06:14.000Z""}"
Integer ac leo.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Garnette Lynde,639813506-7,Maggio-Goyette,2010,Religion,Shelf A3,true,true,"{""$date"":""2024-11-12T03:41:11.000Z""}","{""$date"":""2024-11-12T03:41:11.000Z""}"
Morbi non quam nec dui luctus rutrum.,"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Bianka Larvin,051489659-0,"Stehr, Crona and Shanahan",1987,Environment,Shelf C2,false,true,"{""$date"":""2025-07-21T13:48:09.000Z""}","{""$date"":""2025-07-21T13:48:09.000Z""}"
In congue.,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Delilah Tottman,739906606-X,Klein-Hudson,1998,Environment,Shelf B1,true,true,"{""$date"":""2025-07-19T12:47:29.000Z""}","{""$date"":""2025-07-19T12:47:29.000Z""}"
Aliquam sit amet diam in magna bibendum imperdiet.,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Sandro Bage,738434482-4,"Schamberger, Carroll and Hickle",2002,Arts,Shelf C3,true,true,"{""$date"":""2025-07-20T21:45:53.000Z""}","{""$date"":""2025-07-20T21:45:53.000Z""}"
